ligandID,SMILES,maxring,numring,PDBs,PDBs_num
4UR,c1nc(c2c(n1)n(cn2)C3C4C(C(O3)COP(=O)(OC5C(COP(=O)(O4)O)OC(C5O)n6cnc7c6N=C(NC7=O)N)O)O)N,13,7,5bqx,1
4W9,CCC1CC2(C=C(C(CC23C(=C(C(=O)C4(C(CCC5C4CCCC5O)CC1O)C)C(=O)N3)O)C)C)C,11,5,5bu3,1
587,CCC1C=C(C(C(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Oc5ccc6c(c5)ccn6C)C)O)C)OC)OC)C)O)C,21,6,1qpl,1
58T,CNc1c2c3nc(n1)OCCOCCOc4cccc(c4)CN3C(=O)N2,15,4,5anu,1
59C,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)NCC=C)C)C)OC)OC(=O)N)C)C)O)OC,19,2,4asa,1
5BF,c1ccc(cc1)CC(C=O)NC(=O)C2Cc3ccc(cc3)OCCCCOc4ccc(cc4)CCC(=O)c5ccc([nH]5)C(=O)N2,24,8,4q2k,1
5KK,C1CNCN2CNCCNCN(CN1)CNCCNC2,14,3,5e78,1
5LG,CC(C)CC1C(=O)NC(CCC(=O)NCCn2cc(nn2)CC(C(=O)N1)NC(=O)OCc3ccccc3)CO,17,3,5e0g,1
5LH,CC(C)CC1C(=O)NC(CCC(=O)NCCCn2cc(nn2)CC(C(=O)N1)NC(=O)OCc3ccccc3)CO,18,3,5e0h 6bic,2
5LJ,c1ccc(cc1)COC(=O)NC2Cc3cn(nn3)CCCCCCNC(=O)CCC(NC(=O)C(NC2=O)CC4CCCCC4)CO,21,4,5e0j,1
5N7,c1cc2ccc1CC(C(=O)NC(Cc3ccc(cc3)NC(=O)CCN4CCN(CCC(=O)N2)CC4)C(=O)NCc5ccc(cc5)C(=N)N)NS(=O)(=O)NC6CCCCC6,26,10,5eg4,1
5P8,CC1c2cc(ccc2C(=O)N(Cc3c(c(n(n3)C)C#N)-c4cc(c(nc4)N)O1)C)F,12,4,4uxl 5aa9 5aa8 5a9u 4clj 4cli,6
5QO,Cc1c2nc3c(cccc3n1)-c4cc5c([nH]4)C(CC=CC(N2)C)CNC5=O,13,5,5eol,1
5R2,CCc1c(nc2cc(ccc2n1)OC)OC3CC4C(=O)NC5(CC5C=CCCCCCC(C(=O)N4C3)NC(=O)OC(C)(C)C)C(=O)NS(=O)(=O)C6CC6,15,6,5epn 5epy,2
